term,subject,course_number,instructor,gpa,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
202408,CS,1064,Lewis,3.5,41.2,27.6,9.5,9.9,2.1,3.7,2.1,1.6,0.4,0.8,0,1.2,2
202401,CS,1064,Lewis,3.41,36.6,22.2,11.9,9.9,7,4.9,3.7,2.5,0.4,0.4,0,0.4,3
202508,CS,2064,Hillman,2.84,28.4,5.3,9.5,10.5,7.4,11.6,13.7,2.1,3.2,5.3,1.1,2.1,21
202408,CS,2064,Sullivan,3,37.7,9.1,10.4,11.7,3.9,9.1,3.9,2.6,1.3,1.3,0,9.1,1
202401,CS,2064,Sullivan,3.35,29.5,26.1,18.2,11.4,2.3,3.4,5.7,0,0,1.1,0,2.3,2
202508,CS,2104,Sullivan,3.52,49.1,17.5,14,8.8,3.5,0,3.5,0,0,0,1.8,1.8,1
202508,CS,2104,Nizamani,3.71,63.3,16.7,5,5,6.7,0,3.3,0,0,0,0,0,0
202508,CS,2104,Emebo,3.44,45.5,18.2,6.1,18.2,3,4.5,0,0,0,1.5,0,3,1
202508,CS,2104,Sullivan,3.67,49.4,23,13.8,9.2,2.3,2.3,0,0,0,0,0,0,0
202508,CS,2104,Emebo,3.72,60,16.7,14.4,5.6,0,1.1,1.1,0,0,1.1,0,0,0
202401,CS,2104,Nizamani,3.28,25,16.7,20.8,29.2,0,4.2,0,0,0,0,0,4.2,0
202401,CS,2104,Nizamani,3.27,24.7,17.3,22.2,19.8,4.9,4.9,1.2,2.5,0,0,0,2.5,0
202401,CS,2104,Ellis,3.43,26.5,22.9,20.5,18.1,8.4,2.4,0,1.2,0,0,0,0,1
202401,CS,2104,Cao,3.23,26.2,19.1,8.3,25,6,7.1,4.8,1.2,0,0,1.2,1.2,1
202408,CS,2104,Gan,3.38,37.6,20,12.9,9.4,8.2,2.4,5.9,1.2,0,1.2,0,1.2,5
202408,CS,2104,Sullivan,3.62,59.8,2.3,21.8,6.9,4.6,1.1,2.3,1.1,0,0,0,0,2
202408,CS,2104,Cao,3.39,31,19.5,18.4,13.8,9.2,4.6,2.3,0,0,0,0,1.1,3
202408,CS,2104,Cao,3.45,37.1,27,14.6,7.9,4.5,2.2,1.1,2.2,0,0,2.2,1.1,0
202508,CS,2114,Ellis,2.81,10,20,0,20,10,10,20,10,0,0,0,0,1
202508,CS,2114,Ellis,2.8,5.9,11.8,29.4,5.9,11.8,11.8,5.9,11.8,5.9,0,0,0,1
202508,CS,2114,Pettit,3.02,16.7,22.2,5.6,22.2,11.1,16.7,0,0,0,0,0,5.6,1
202508,CS,2114,Ellis,2.44,10,15,0,15,5,15,10,10,10,5,0,5,1
202508,CS,2114,Pettit,3.05,27.3,18.2,13.6,9.1,4.5,4.5,0,13.6,4.5,4.5,0,0,1
